"row ID"	"Protein.Group"	"UniProt_Organism"	"Stripped.Sequence (Count)"	"PG.MaxLFQ+1_1_log2"	"PG.MaxLFQ+2_1_log2"	"PG.MaxLFQ+1_3_log2"	"PG.MaxLFQ+2_3_log2"	"PG.MaxLFQ+1_log2"	"PG.MaxLFQ+2_log2"
"Row252"	"O94919"	"Homo sapiens (Human)"	6	1	1	1	1	1	1
"Row253"	"O94925"	"Homo sapiens (Human)"	16	1	1	1	1	1	1
"Row254"	"O94953"	"Homo sapiens (Human)"	10	1	1	1	1	1	1
"Row255"	"O94973;O95782"	"Homo sapiens (Human);Homo sapiens (Human)"	11	1	1	1	1	1	1
"Row256"	"O95059"	"Homo sapiens (Human)"	1	1	1	1	1	1	1
"Row257"	"O95071"	"Homo sapiens (Human)"	34	1	1	1	1	1	1
"Row258"	"O95104;Q9UPN6"	"Homo sapiens (Human);Homo sapiens (Human)"	2	1	1	1	1	1	1
"Row259"	"O95140"	"Homo sapiens (Human)"	3	1	1	1	1	1	1
"Row260"	"O95155"	"Homo sapiens (Human)"	10	1	1	1	1	1	1
"Row261"	"O95166"	"Homo sapiens (Human)"	2	1	1	1	1	1	1
"Row262"	"O95168"	"Homo sapiens (Human)"	6	1	1	1	1	1	1
"Row263"	"O95197"	"Homo sapiens (Human)"	3	1	1	1	1	1	1
"Row264"	"O95214"	"Homo sapiens (Human)"	1	1	1	1	1	1	1
"Row265"	"O95229"	"Homo sapiens (Human)"	2	1	1	1	1	1	1
"Row266"	"O95236"	"Homo sapiens (Human)"	1	1	1	1	1	1	1
"Row267"	"O95243"	"Homo sapiens (Human)"	3	1	1	1	1	1	1
"Row268"	"O95251"	"Homo sapiens (Human)"	8	1	1	1	1	1	1
"Row269"	"O95273"	"Homo sapiens (Human)"	1	1	1	1	1	1	1
"Row270"	"O95295"	"Homo sapiens (Human)"	4	1	1	1	1	1	1
"Row271"	"O95299"	"Homo sapiens (Human)"	13	1	1	1	1	1	1
"Row272"	"O95336"	"Homo sapiens (Human)"	12	1	1	1	1	1	1
"Row273"	"O95352"	"Homo sapiens (Human)"	11	1	1	1	1	1	1
"Row274"	"O95372"	"Homo sapiens (Human)"	6	1	1	1	1	1	1
"Row275"	"O95379"	"Homo sapiens (Human)"	4	1	1	1	1	1	1
"Row276"	"O95396"	"Homo sapiens (Human)"	3	1	1	1	1	1	1
"Row277"	"O95429"	"Homo sapiens (Human)"	2	1	1	1	1	1	1
"Row278"	"O95456"	"Homo sapiens (Human)"	12	1	1	1	1	1	1
"Row279"	"O95478"	"Homo sapiens (Human)"	6	1	1	1	1	1	1
"Row280"	"O95487"	"Homo sapiens (Human)"	10	1	1	1	1	1	1
"Row281"	"O95544"	"Homo sapiens (Human)"	2	1	1	1	1	1	1
"Row282"	"O95563"	"Homo sapiens (Human)"	5	1	1	1	1	1	1
"Row283"	"O95602"	"Homo sapiens (Human)"	40	1	1	1	1	1	1
"Row284"	"O95625"	"Homo sapiens (Human)"	3	1	1	1	1	1	1
"Row285"	"O95639"	"Homo sapiens (Human)"	6	1	1	1	1	1	1
"Row286"	"O95674"	"Homo sapiens (Human)"	4	1	1	1	1	1	1
"Row287"	"O95696"	"Homo sapiens (Human)"	5	1	1	1	1	1	1
"Row288"	"O95716"	"Homo sapiens (Human)"	2	1	1	1	1	1	1
